member_id;age;gender;industry;country;is_team_account;n_colleagues_on_account;plan_tier;plan_days_per_week;membership_start;membership_end;last_badge_swipe;days_since_last_visit;total_visits;avg_weekly_visits;entitled_visits_last_period;actual_visits_last_period;meeting_room_hours;event_space_hours;guest_passes_issued;uses_meeting_rooms;uses_event_space;uses_guest_passes;uses_print;uses_mail_handling;uses_phone_booths;uses_day_passes;uses_storage;uses_bike_locker;n_renewals;lifetime_value
CW000001;38.0;Female;Information Technology;Portugal;False;0;flex;3;2021-08-01;2023-03-06;2023-03-23;-17;220;2.65;26.09;22;0.0;0.0;18.0;False;False;True;0;False;True;True;False;False;2;4477.97
CW000002;38.0;Male;Information Technology;Portugal;True;2;HOT_DESK;2;2023-11-24;1970-01-01;2023-11-24;37;2;0.32;10.68;1;0.0;0.0;0.0;False;False;False;0;True;False;False;False;False;0;165.86
CW000003;43.0;Male;Education;DE;True;1;flex;3;2021-12-03;1970-01-01;2023-07-22;163;19;0.17;26.09;2;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;1;4486.17
CW000004;38.0;F;Legal;portugal;False;0;flex;3;2022-01-02;2022-02-15;2022-01-02;44;8;1.23;18.74;9;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;258.63
CW000005;45.0;Female;Information Technology;United Kingdom;False;0;hot_desk;2;2023-10-24;1970-01-01;2023-12-17;15;4;0.38;17.39;3;0.0;0.0;0.0;False;False;False;0;False;False;True;False;False;0;335.74
CW000006;39.0;Male;Health;Portugal;False;0;flex;3;2021-05-31;2021-08-01;2021-07-09;23;3;0.36;26.09;3;0.0;0.0;0.0;False;False;False;1;True;False;False;False;False;0;413.17
CW000007;23.0;Female;Unknown;Portugal;True;2;hot_desk;2;2022-01-17;2022-03-19;2022-01-31;47;5;0.62;17.39;5;0.0;0.0;1.0;False;False;True;0;False;False;False;False;False;0;257.95
CW000008;33.0;Male;Information Technology;Portugal;True;3;flex;3;2021-03-28;2022-06-30;2022-06-14;16;155;2.36;26.09;25;129.0;0.0;0.0;True;False;False;0;False;False;False;True;False;0;4636.8
CW000009;30.0;Male;Other;Portugal;False;0;flex;3;2023-08-12;2023-09-21;2023-08-12;40;6;1.1;17.13;6;0.0;1.0;0.0;False;True;False;0;False;False;False;False;False;0;281.37
CW000010;44.0;Male;Consulting;Portugal;False;0;dedicated_desk;5;2022-06-06;1970-01-01;2023-12-30;2;331;4.04;43.48;36;42.1;0.0;37.0;True;False;True;1;True;True;False;True;False;1;8741.88
CW000011;37.0;Male;Information Technology;Spain;False;0;full_time;5;2021-01-01;1970-01-01;2023-04-24;252;21;0.14;43.48;1;0.0;0.0;0.0;False;False;False;0;True;False;True;False;False;1;11691.99
CW000012;131.0;Male;Design & Creative;Portugal;False;0;flex;3;2021-08-27;2023-05-16;2023-05-09;7;250;2.8;26.09;25;0.0;0.0;0.0;False;False;False;1;False;True;False;False;False;2;4078.95
CW000013;20.0;Female;Information Technology;Spain;True;3;flex;3;2022-01-25;2022-03-25;2022-01-25;59;12;1.38;25.45;10;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;351.13
CW000014;45.0;Female;Design & Creative;Portugal;False;0;flex;3;2021-10-20;2022-01-11;2021-11-14;58;8;0.7;26.09;7;0.0;0.0;0.0;False;False;False;0;False;False;True;False;False;0;575.33
CW000015;40.0;Female;information technology;Germany;False;0;flex;3;2022-01-09;1970-01-01;2023-06-29;186;7;0.06;26.09;1;0.0;0.0;;False;False;False;0;True;False;False;False;False;6;4621.55
CW000016;33.0;Male;Information Technology;Netherlands;False;0;full_time;5;2023-03-22;2023-06-20;2023-05-19;32;13;0.99;43.48;8;;0.0;0.0;False;False;False;0;False;False;False;False;False;0;831.25
CW000017;23.0;Other;Finance;Portugal;False;0;hot_desk;2;2022-06-03;2022-07-04;2022-06-07;27;1;0.33;8.78;2;0.0;1.4;0.0;False;True;False;0;False;False;False;False;False;0;184.21
CW015003;32.0;Female;Design & Creative;France;False;0;flex;3;2022-01-09;2023-02-24;2023-02-11;13;111;1.9;26.09;15;26.8;0.0;0.0;True;False;False;1;False;False;False;False;False;0;2859.6
CW000018;21.0;Male;Education;Portugal;False;0;flex;3;2021-08-24;1970-01-01;2023-08-18;136;25;0.2;26.09;1;0.0;0.0;0.0;False;False;False;0;False;False;False;True;False;5;5792.03
CW015229;29.0;Female;Consulting;Spain;False;0;private_office;7;2023-12-26;1970-01-01;2023-12-26;5;1;0.81;5.33;1;0.0;0.0;0.0;False;False;False;0;True;True;False;False;False;2;118.31
CW000019;25.0;Male;Consulting;Portugal;False;0;dedicated_desk;5;2021-02-06;2023-12-01;2023-11-30;1;630;4.29;43.48;37;283.2;0.0;23.0;True;False;True;0;False;False;False;False;False;2;15561.54
CW000020;25.0;Male;Marketing & PR;PT;False;0;Hot Desk;2;2021-07-20;2021-12-12;2021-12-11;1;38;1.82;17.39;14;0.0;0.0;0.0;False;False;False;0;False;True;False;False;False;1;
CW000021;44.0;Male;Design & Creative;Portugal;False;0;hot_desk;2;11/11/2022;27/01/2023;29/12/2022;29;10;0.87;17.39;8;3.0;0.0;0.0;True;False;False;0;False;False;False;False;False;0;342.9
CW000022;28.0;Male;Information Technology;France;False;0;private_office;7;2021-04-21;2023-09-11;2023-08-22;20;163;1.31;60.87;12;6.1;0.0;0.0;True;False;False;0;True;True;False;False;False;2;19440.65
CW000023;30.0;Female;Marketing & PR;Portugal;False;0;dedicateddesk;5;2021-10-25;1970-01-01;2023-07-26;159;24;0.21;43.48;1;0.0;0.0;0.0;False;False;False;0;True;True;False;False;False;2;9826.73
CW000024;29.0;Male;Other;Portugal;False;0;hot_desk;2;2023-04-27;2023-06-21;2023-04-27;56;3;0.35;15.9;2;0.0;0.0;0.0;False;True;False;0;False;False;False;False;False;-3;219.41
CW000025;51.0;Male;Other;Portugal;False;0;full_time;5;2021-10-06;2023-08-24;2023-08-21;3;307;3.13;43.48;27;0.0;0.0;0.0;False;False;False;1;False;False;True;False;False;1;7175.68
CW000026;23.0;Male;Information Technology;Portugal;False;0;hot_desk;2;2023-05-28;2023-08-31;2023-08-27;4;25;1.82;17.39;15;1.1;0.0;0.0;True;False;False;1;False;True;False;False;False;1;444.97
CW000027;30.0;Female;Information Technology;Portugal;False;0;hot_desk;2;2021-02-22;2021-03-25;2021-02-22;32;2;0.43;9.1;2;0.0;0.0;0.0;False;False;False;0;False;False;False;False;False;0;125.63
CW000028;41.0;Female;Design & Creative;Portugal;False;0;dedicated_desk;5;2022-02-08;2023-09-24;2023-09-21;3;375;4.43;43.48;33;21.9;0.0;0.0;True;False;False;0;False;False;False;False;False;1;7073.28
CW000029;33.0;Female;Other;Netherlands;False;0;dedicated_desk;5;2021-11-08;2023-08-06;2023-08-04;2;416;4.58;43.48;43;72.7;0.0;0.0;True;False;False;0;True;False;False;True;False;3;9025.72
